Contains(e1,e2)	<e1> Panama </e1>'s capital and largest city is <e2> Panama City </e2>, whose metropolitan area is home to nearly half the country's 4 million inhabitants.
Contains(e1,e2)	<e1>Australia</e1> has six states — <e2>New South Wales</e2> (NSW), Queensland (QLD), South Australia (SA), Tasmania (TAS), Victoria (VIC) and Western Australia (WA) — and three mainland territories—the Australian Capital Territory (ACT), the Northern Territory (NT), and the Jervis Bay Territory (JBT).
Contains(e1,e2)	<e1> Afro-Eurasia </e1> (also Afroeurasia, Eurafrasia or the Old World) is a landmass comprising the continents of <e2> Africa </e2>, Asia, and Europe.
Contains(e1,e2)	<e1>California</e1> is one of the most geographically diverse states in the union and is often geographically bisected into two regions, Southern California, comprising the ten southernmost counties, and <e2> Northern California </e2>, comprising the 48 northernmost counties.
Crosses(e1,e2)	The <e1> Okanagan Highway </e1> is named for the <e2> Okanagan </e2> region of British Columbia, through which it largely passes.
Crosses(e1,e2)	The oldest part of the <e1> A 81 </e1> between the <e2> Weinsberg </e2> intersection (A 6) near Heilbronn and Dreieck Leonberg (A 8) near Stuttgart was finished in the years 1938 to 1940. 
Crosses(e1,e2)	Around 120 km (75 mi) from Paris, between the towns of Amiens and Saint-Quentin and near the Aire de service d'Assevillers (the largest motorway plaza in Europe), the <e1>A1</e1> crosses over the <e2>A29</e2>.
Crosses(e1,e2)	<e1>National Highway 26</e1> (NH 26), (previously National Highway 43), is a National Highway in India, that connects <e2>Bargarh</e2> in Odisha and passes through Odisha to connect with Rajapulova in Vizianagaram district of Andhra Pradesh.
Disjoint(e1,e2)	Rising in the <e1> Saint Cyr Range </e1> of the Pelly Mountains in southeastern Yukon, the Liard River flows 1,115 km (693 mi) southeast through British Columbia, marking the northern end of the <e2> Rocky Mountains </e2> and then curving northeast back into Yukon and Northwest Territories, draining into the Mackenzie River at Fort Simpson, Northwest Territories.
Disjoint(e1,e2)	Rising in the Saint Cyr Range of the Pelly Mountains in southeastern <e1> Yukon </e1>, the Liard River flows 1,115 km (693 mi) southeast through British Columbia, marking the northern end of the Rocky Mountains and then curving northeast back into Yukon and Northwest Territories, draining into the Mackenzie River at <e2> Fort Simpson </e2>, Northwest Territories.
Disjoint(e1,e2)	Highway 97 connects several major cities in BC Interior, including <e1> Kelowna </e1>, <e2> Kamloops </e2>, Prince George, and Dawson Creek.
Disjoint(e1,e2)	The 236 county equivalents include 100 equivalents in the territories (such as those in <e1> Puerto Rico </e1>) outside the 50 states and the <e2> District of Columbia </e2>.
Equals(e1,e2)	<e1> Saint Petersburg </e1>, formerly known as <e2> Petrograd </e2> (1914–1924) and later Leningrad (1924–1991), is the second-largest city in Russia.
Equals(e1,e2)	Edo, also romanized as Jedo, <e1> Yedo </e1> or <e2> Yeddo </e2>, is the former name of Tokyo.
Equals(e1,e2)	Edo, also romanized as Jedo, <e1> Yedo </e1> or Yeddo, is the former name of <e2> Tokyo </e2>.
Equals(e1,e2)	<e1> Edo </e1>, also romanized as Jedo, Yedo or Yeddo, is the former name of <e2> Tokyo </e2>.
Overlaps(e1,e2)	<e1> Lake Malawi </e1>, also known as Lake Nyasa in <e2> Tanzania </e2> and Lago Niassa in Mozambique, is an African Great Lake and the southernmost lake in the East African Rift system, located between Malawi, Mozambique and Tanzani.
Overlaps(e1,e2)	Texas has also dammed the river at the Red Bluff Dam in the western part of that state to form the <e1> Red Bluff Reservoir </e1>. The portion of the reservoir that extends into <e2> New Mexico </e2> forms the lowest point in that state.
Overlaps(e1,e2)	At its most inclusive, in the United States the <e1> Great Lakes megalopolis </e1> region cuts a wide swath from the twin cities of Minneapolis–Saint Paul in <e2> Minnesota </e2> in the west, south to St. Louis and Louisville, Kentucky, and east to Rochester, New York; in Canada, it continues northeasterly to Quebec City.
Overlaps(e1,e2)	The <e1> Carpathian Mountains </e1> range stretches from the far eastern Czech Republic (3%) and Austria (1%) in the northwest through Slovakia (21%), Poland (10%), Ukraine (10%), <e2> Romania </e2> (50%) to Serbia (5%) in the south.
Touches(e1,e2)	A commonly accepted division places <e1> Asia </e1> to the east of the Suez Canal separating it from Africa; and to the east of the Turkish Straits, the Ural Mountains and <e2>Ural River </e2>, and to the south of the Caucasus Mountains and the Caspian and Black seas, separating it from Europe.
Touches(e1,e2)	<e1> Highway 97 </e1> then passes along the west shore of <e2> Kalamalka Lake </e2> before entering the city of Vernon and a junction with Highway 6 just south of the city centre. The highway then travels north for 10 km (6 mi) to a junction with Highway 97A near Swan Lake.
Touches(e1,e2)	<e1>France</e1> has land borders with Brazil and <e2>Suriname</e2> via French Guiana and with the Kingdom of the Netherlands through the French portion of Saint Martin.
Touches(e1,e2)	The Great Lakes megalopolis extends northward through <e1> Southern Ontario </e1> into southwestern <e2> Quebec </e2> in Canada.
Unclear(e1,e2)	National monuments are located in 31 states, the <e1> District of Columbia </e1>, the <e2> Virgin Islands </e2>, American Samoa, the Minor Outlying Islands, and the Northern Mariana Islands. Arizona and California have the most national monuments, each with 18, followed by New Mexico with 13.
Unclear(e1,e2)	The <e1> Alps </e1> are the highest and most extensive mountain range that is entirely in Europe, stretching approximately 1,200 km (750 mi) across seven Alpine countries (from west to east): France, Switzerland, Italy, Liechtenstein, <e2> Austria </e2>, Germany, and Slovenia.
Unclear(e1,e2)	The largest state by area is <e1> Alaska </e1>, encompassing 665,384 square miles (1,723,337 square kilometers), while the smallest is <e2> Rhode Island </e2>, encompassing 1,545 square miles (4,001 square kilometers).
Unclear(e1,e2)	<e1> North America </e1> is the third-largest continent by area, following <e2> Asia </e2> and Africa.
Within(e1,e2)	The <e1> National Park of American Samoa </e1> is a national park in the United States territory of <e2> American Samoa </e2>.
Within(e1,e2)	<e1> Paugus Bay </e1> is a 1,227-acre (4.97 km2) water body located in <e2> Belknap County </e2> in the Lakes Region of central New Hampshire, United States, in the city of Laconia.
Within(e1,e2)	Two dams are located north of <e1> Carlsbad </e1>, <e2> New Mexico </e2>, at Avalon Dam and Brantley Dam, to help irrigate about 25,000 acres (10,000 ha) as part of the Carlsbad reclamation project (established in 1906).
Within(e1,e2)	The <e1> Saline River </e1> is a tributary of the Ohio River, approximately 27 miles (43 km) long, in the Southern Illinois region of the U.S. state of <e2> Illinois </e2>.
